run,linearity
36,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-207.63695:223.0-218.07687:223.0-228.5684:223.0-239.10587:223.0-249.6842:223.0-260.29892:223.0-270.946:223.0-281.62195:223.0-292.32352:223.0-303.0479:223.0-313.79263:223.0-389.41458:191.0-400.25897:191.0-411.11047:191.0-421.96832:191.0-432.8318:191.0-443.7003:191.0-454.57324:191.0-465.45016:191.0-476.33063:191.0-487.21423:191.0-498.10065:191.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-596.1632:223.0-607.06525:223.0-617.968:223.0-716.11676:207.0-727.02386:207.0-737.9312:207.0-748.83875:207.0-759.74646:207.0-770.6543:207.0-781.5623:207.0-792.47046:207.0-890.6471:191.0-901.5559:191.0-912.4647:191.0-923.3736:191.0-934.2825:191.0-945.19135:191.0-956.1003:191.0-967.0092:191.0-977.91815:191.0-988.82715:191.0-999.73615:191.0-1010.64514:191.0-1021.55414:191.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1065.1904:191.0-1076.0995:191.0-1087.0085:191.0-1130.6448:207.0-1141.5538:207.0-1152.4629:207.0-1163.372:207.0-1174.281:207.0-1185.1901:207.0-1196.0991:207.0-1207.0082:207.0-1217.9172:207.0-1228.8263:207.0-1239.7354:207.0-1250.6444:207.0-1348.8259:191.0-1359.735:191.0-1370.644:191.0-1381.5531:191.0-1392.4622:191.0-1403.3712:191.0-1414.2803:191.0-1425.1893:191.0-1436.0984:191.0-1447.0074:191.0-1457.9165:191.0-1468.8256:191.0-1599.7343:207.0-1610.6433:207.0-1621.5524:207.0-1632.4614:207.0-1643.3705:207.0-1741.552:191.0-1752.461:191.0-1763.3701:191.0-1774.2792:191.0-1785.1882:191.0-1796.0973:191.0-1807.0063:191.0-1817.9154:191.0-1828.8245:191.0-1839.7335:191.0-1883.3698:207.0-1894.2788:207.0-1905.1879:207.0-1916.0969:207.0-1927.006:207.0-1937.915:207.0-1948.8241:207.0-1959.7332:207.0-1970.6422:207.0-1981.5513:207.0-1992.4603:207.0-2003.3694:207.0-2014.2784:207.0-2025.1875:207.0-2036.0966:207.0-2134.279:191.0-2145.1882:191.0-2156.0974:191.0-2167.0066:191.0-2177.9158:191.0-2188.825:191.0-2199.7341:191.0-2210.6433:191.0-2221.5525:191.0-2232.4617:191.0-2243.3708:191.0-2254.28:191.0-2319.735:223.0-2330.6443:223.0-2341.5535:223.0-2352.4626:223.0-2363.3718:223.0-2373.681:223.0-2383.456:223.0-2384.0:223.0
37,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-176.69463:239.0-186.93822:239.0-197.255:239.0-207.63695:239.0-218.07687:239.0-228.5684:239.0-335.33432:207.0-346.12753:207.0-356.9335:207.0-367.7508:207.0-378.5782:207.0-389.41458:207.0-400.25897:207.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-563.4629:191.0-574.36194:191.0-585.2621:191.0-596.1632:191.0-716.11676:143.0-727.02386:143.0-737.9312:143.0-836.1038:239.0-847.0124:239.0-857.921:239.0-868.82965:239.0-879.73834:239.0-890.6471:239.0-901.5559:239.0-912.4647:239.0-923.3736:239.0-934.2825:239.0-945.19135:239.0-1057.0261:127.0-1119.6908:191.0-1129.4048:191.0-1139.2502:191.0-1189.9952:239.0-1200.3757:239.0-1210.8143:239.0-1221.3047:239.0-1231.8411:239.0-1242.4185:239.0-1253.0323:239.0-1263.6787:239.0-1274.354:239.0-1349.6626:207.0-1360.4796:207.0-1371.3068:207.0-1382.143:207.0-1392.9872:207.0-1403.8385:207.0-1414.6962:207.0-1425.5596:207.0-1436.428:207.0-1447.3008:207.0-1458.1776:207.0-1469.058:207.0-1479.9415:207.0-1490.8279:207.0-1501.7167:207.0-1512.6078:207.0-1523.5009:207.0-1534.3956:207.0-1545.292:207.0-1556.1898:207.0-1654.3123:191.0-1665.2178:191.0-1676.1238:191.0-1687.03:191.0-1828.8304:223.0-1839.739:223.0-1850.6476:223.0-1861.5563:223.0-1872.465:223.0-1883.3737:223.0-1894.2825:223.0-1905.1913:223.0-2057.9167:207.0-2068.8257:207.0-2079.7346:207.0-2177.9167:191.0-2221.5535:223.0-2232.4626:223.0-2243.3718:223.0-2254.281:223.0-2265.1902:223.0-2276.0994:223.0-2287.0085:223.0-2297.9177:223.0-2308.827:223.0-2319.736:223.0
38,14.686521:15.0-18.751003:15.0-120.69417:239.0-129.2978:239.0-137.55505:239.0-235.20274:191.0-245.01044:191.0-254.93929:191.0-264.97595:191.0-275.10858:191.0-337.4031:239.0-347.96875:239.0-358.57217:239.0-369.20923:239.0-465.96115:223.0-476.7854:223.0-552.7663:191.0-563.64197:191.0-716.1519:207.0-727.0552:207.0-737.9591:207.0-748.8636:207.0-759.76855:207.0-770.674:207.0-781.57983:207.0-792.486:207.0-803.3925:207.0-814.2993:207.0-825.20636:207.0-836.11365:207.0-847.0211:207.0-857.9288:207.0-868.8366:207.0-879.74457:207.0-890.65265:207.0-901.56085:207.0-912.4691:207.0-923.3775:207.0-934.28595:207.0-945.19446:207.0-956.103:207.0-967.01166:207.0-977.92035:207.0-988.8291:207.0-1054.2821:239.0-1065.191:239.0-1076.1:239.0-1087.0089:239.0-1097.9178:239.0-1108.8268:239.0-1119.7358:239.0-1130.6449:239.0-1141.554:239.0-1152.463:239.0-1163.3721:239.0-1174.2811:239.0-1185.1902:239.0-1196.0992:239.0-1207.0083:239.0-1217.9174:239.0-1228.8264:239.0-1239.7355:239.0-1250.6445:239.0-1261.5536:239.0-1272.4626:239.0-1283.3717:239.0-1294.2808:239.0-1305.1898:239.0-1316.0989:239.0-1327.0079:239.0-1403.3713:207.0-1414.2804:207.0-1425.1895:207.0-1436.0985:207.0-1447.0076:207.0-1457.9166:207.0-1468.8257:207.0-1479.7347:207.0-1567.0072:159.0-1577.3163:159.0-1587.0913:159.0-1732.4385:207.0-1743.1501:207.0-1753.8835:207.0-1764.6362:207.0-1775.4061:207.0-1786.1913:207.0-1796.9901:207.0-1807.801:207.0-1818.6228:207.0-1829.4541:207.0-1840.2941:207.0-1851.1416:207.0-1861.9958:207.0-1872.8562:207.0-1883.7219:207.0-1894.5924:207.0-1905.4672:207.0-2025.2662:207.0-2036.1669:207.0-2047.0684:207.0-2057.9707:207.0-2068.8738:207.0-2079.7776:207.0-2090.682:207.0-2101.5867:207.0-2276.1033:191.0-2287.0117:191.0-2297.9204:191.0-2308.829:191.0-2319.7378:191.0-2330.6465:191.0-2341.5552:191.0-2352.4639:191.0-2363.3728:191.0-2384.0:207.0
39,14.686521:15.0-18.751003:15.0-146.4993:239.0-156.46437:239.0-166.5333:239.0-176.69463:239.0-186.93822:239.0-313.79263:207.0-324.55542:207.0-335.33432:207.0-346.12753:207.0-356.9335:207.0-596.1632:239.0-607.06525:239.0-617.968:239.0-628.8715:239.0-639.77563:239.0-716.11676:207.0-727.02386:207.0-737.9312:207.0-748.83875:207.0-759.74646:207.0-770.6543:207.0-781.5623:207.0-792.47046:207.0-803.37866:207.0-814.287:207.0-879.73834:239.0-890.6471:239.0-901.5559:239.0-912.4647:239.0-923.3736:239.0-934.2825:239.0-945.19135:239.0-956.1003:239.0-967.0092:239.0-977.91815:239.0-988.82715:239.0-999.73615:239.0-1010.64514:239.0-1021.55414:239.0-1032.4633:239.0-1043.3723:239.0-1054.2814:239.0-1065.1904:239.0-1076.0995:239.0-1163.372:191.0-1174.281:191.0-1185.1901:191.0-1196.0991:191.0-1207.0082:191.0-1217.9172:191.0-1228.8263:191.0-1239.7354:191.0-1250.6444:191.0-1261.5535:191.0-1272.4625:191.0-1283.3716:191.0-1294.2806:191.0-1457.9165:191.0-1468.8256:191.0-1479.7346:191.0-1490.6437:191.0-1501.5527:191.0-1556.098:239.0-1567.0071:239.0-1577.9161:239.0-1588.8252:239.0-1599.7343:239.0-1610.6433:239.0-1621.5524:239.0-1708.8248:191.0-1719.7339:191.0-1730.643:191.0-1741.552:191.0-1752.461:191.0-1763.3701:191.0-1774.2792:191.0-1785.1882:191.0-1796.0973:191.0-1807.0063:191.0-1817.9154:191.0-1828.8245:191.0-1839.7335:191.0-1850.6426:191.0-1916.0969:223.0-1927.006:223.0-1937.915:223.0-1948.8241:223.0-1959.7332:223.0-1970.6422:223.0-1981.5513:223.0-1992.4603:223.0-2003.3694:223.0-2014.2784:223.0-2025.1875:223.0-2036.0966:223.0-2047.0056:223.0-2057.9148:223.0-2068.824:223.0-2079.7332:223.0-2090.6423:223.0-2101.5515:223.0-2232.4617:239.0-2243.3708:239.0-2254.28:239.0-2341.5535:191.0-2352.4626:191.0-2363.3718:191.0-2373.681:191.0-2383.456:191.0-2384.0:191.0
40,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-356.9335:191.0-367.7508:191.0-378.5782:191.0-389.41458:191.0-400.25897:191.0-411.11047:191.0-421.96832:191.0-432.8318:191.0-443.7003:191.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-650.6803:191.0-661.58545:191.0-672.491:191.0-683.397:191.0-694.3033:191.0-705.2099:191.0-716.11676:191.0-727.02386:191.0-737.9312:191.0-748.83875:191.0-792.47046:207.0-803.37866:207.0-814.287:207.0-825.1954:207.0-836.1038:207.0-934.2825:191.0-945.19135:191.0-956.1003:191.0-967.0092:191.0-977.91815:191.0-988.82715:191.0-999.73615:191.0-1010.64514:191.0-1021.55414:191.0-1065.1904:207.0-1076.0995:207.0-1087.0085:207.0-1097.9176:207.0-1108.8267:207.0-1119.7357:207.0-1130.6448:207.0-1141.5538:207.0-1152.4629:207.0-1163.372:207.0-1174.281:207.0-1185.1901:207.0-1196.0991:207.0-1207.0082:207.0-1217.9172:207.0-1228.8263:207.0-1239.7354:207.0-1250.6444:207.0-1294.2806:223.0-1305.1897:223.0-1316.0988:223.0-1327.0078:223.0-1337.9169:223.0-1348.8259:223.0-1359.735:223.0-1479.7346:223.0-1490.6437:223.0-1604.2578:239.0-1613.4694:239.0-1702.7284:239.0-1713.1082:239.0-1723.5461:239.0-1734.0359:239.0-1744.5718:239.0-1755.1488:239.0-1765.7623:239.0-1776.4083:239.0-1787.0833:239.0-1797.7839:239.0-1808.5076:239.0-1819.2516:239.0-1992.6686:207.0-2003.5549:207.0-2014.4437:207.0-2025.3348:207.0-2036.2279:207.0-2047.1227:207.0-2058.019:207.0-2068.9167:207.0-2079.8157:207.0-2090.7158:207.0-2101.617:207.0-2232.4775:191.0-2243.3848:191.0-2254.2922:191.0-2265.2:191.0-2276.108:191.0-2287.0159:191.0-2297.924:191.0-2308.8323:191.0-2319.7405:191.0-2363.3745:207.0-2383.4578:223.0-2384.0:223.0
41,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-218.07687:223.0-228.5684:223.0-239.10587:223.0-270.946:239.0-281.62195:239.0-292.32352:239.0-303.0479:239.0-313.79263:239.0-389.41458:207.0-400.25897:207.0-519.8807:207.0-530.7738:207.0-541.66864:207.0-552.56506:207.0-563.4629:207.0-574.36194:207.0-585.2621:207.0-596.1632:207.0-607.06525:207.0-617.968:207.0-628.8715:207.0-639.77563:207.0-650.6803:207.0-661.58545:207.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-868.82965:191.0-879.73834:191.0-945.19135:239.0-956.1003:239.0-967.0092:239.0-1228.8263:191.0-1239.7354:191.0-1250.6444:191.0-1261.5535:191.0-1272.4625:191.0-1283.3716:191.0-1294.2806:191.0-1305.1897:191.0-1337.9169:207.0-1348.8259:207.0-1359.735:207.0-1479.7346:207.0-1490.6437:207.0-1501.5527:207.0-1512.4618:207.0-1523.3708:207.0-1534.2799:207.0-1545.189:207.0-1556.098:207.0-1567.0071:207.0-1577.9161:207.0-1588.8252:207.0-1599.7343:207.0-1610.6433:207.0-1621.5524:207.0-1632.4614:207.0-1643.3705:207.0-1654.2795:207.0-1665.1886:207.0-1676.0977:207.0-1687.0067:207.0-1697.9158:207.0-1763.3701:239.0-1774.2792:239.0-1785.1882:239.0-1796.0973:239.0-1807.0063:239.0-1817.9154:239.0-1905.1879:191.0-1916.0969:191.0-1927.006:191.0-1937.915:191.0-1948.8241:191.0-1959.7332:191.0-1970.6422:191.0-1981.5513:191.0-2025.1875:207.0-2036.0966:207.0-2047.0056:207.0-2057.9148:207.0-2068.824:207.0-2079.7332:207.0-2090.6423:207.0-2101.5515:207.0-2112.4607:207.0-2123.3699:207.0-2134.279:207.0-2145.1882:207.0-2156.0974:207.0-2221.5525:239.0-2232.4617:239.0-2243.3708:239.0-2254.28:239.0-2265.1892:239.0-2276.0984:239.0-2287.0076:239.0-2297.9167:239.0-2383.456:191.0-2384.0:191.0
42,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-389.41458:191.0-400.25897:191.0-541.66864:223.0-552.56506:223.0-563.4629:223.0-574.36194:223.0-585.2621:223.0-596.1632:223.0-607.06525:223.0-617.968:223.0-694.3033:191.0-705.2099:191.0-716.11676:191.0-727.02386:191.0-737.9312:191.0-748.83875:191.0-759.74646:191.0-770.6543:191.0-781.5623:191.0-792.47046:191.0-803.37866:191.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-934.2825:239.0-945.19135:239.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1065.1904:191.0-1076.0995:191.0-1087.0085:191.0-1097.9176:191.0-1108.8267:191.0-1119.7357:191.0-1130.6448:191.0-1141.5538:191.0-1152.4629:191.0-1196.0991:207.0-1207.0082:207.0-1217.9172:207.0-1228.8263:207.0-1261.5535:223.0-1272.4625:223.0-1283.3716:223.0-1294.2806:223.0-1305.1897:223.0-1316.0988:223.0-1327.0078:223.0-1337.9169:223.0-1348.8259:223.0-1359.735:223.0-1370.644:223.0-1414.2803:239.0-1425.1893:239.0-1436.0984:239.0-1447.0074:239.0-1457.9165:239.0-1468.8256:239.0-1479.7346:239.0-1490.6437:239.0-1588.8252:223.0-1599.7343:223.0-1610.6433:223.0-1621.5524:223.0-1632.4614:223.0-1643.3705:223.0-1654.2795:223.0-1665.1886:223.0-1676.0977:223.0-1687.0067:223.0-1697.9158:223.0-1708.8248:223.0-1861.5516:207.0-1872.4607:207.0-1883.3698:207.0-1894.2788:207.0-1905.1879:207.0-2001.829:175.0-2011.1075:175.0-2019.9655:175.0-2148.8357:175.0-2159.3435:175.0-2287.808:191.0-2298.629:191.0-2309.4595:191.0-2320.2986:191.0-2363.7244:223.0-2374.5945:223.0-2384.0:223.0
43,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-186.93822:223.0-197.255:223.0-207.63695:223.0-303.0479:207.0-313.79263:207.0-411.11047:207.0-421.96832:207.0-552.56506:223.0-563.4629:223.0-574.36194:223.0-585.2621:223.0-596.1632:223.0-607.06525:223.0-617.968:223.0-628.8715:223.0-639.77563:223.0-650.6803:223.0-661.58545:223.0-672.491:223.0-683.397:223.0-694.3033:223.0-705.2099:223.0-716.11676:223.0-727.02386:223.0-737.9312:223.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-781.5623:223.0-792.47046:223.0-803.37866:223.0-814.287:223.0-825.1954:223.0-836.1038:223.0-847.0124:223.0-857.921:223.0-868.82965:223.0-879.73834:223.0-890.6471:223.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-934.2825:223.0-945.19135:223.0-956.1003:223.0-967.0092:223.0-977.91815:223.0-988.82715:223.0-999.73615:223.0-1010.64514:223.0-1021.55414:223.0-1032.4633:223.0-1130.6448:207.0-1141.5538:207.0-1152.4629:207.0-1163.372:207.0-1174.281:207.0-1185.1901:207.0-1283.3716:191.0-1294.2806:191.0-1327.0078:207.0-1337.9169:207.0-1436.0984:191.0-1447.0074:191.0-1457.9165:191.0-1468.8256:191.0-1479.7346:191.0-1490.6437:191.0-1501.5527:191.0-1512.4618:191.0-1523.3708:191.0-1534.2799:191.0-1545.189:191.0-1610.6433:223.0-1621.5524:223.0-1632.4614:223.0-1643.3705:223.0-1752.461:191.0-1763.3701:191.0-1774.2792:191.0-1785.1882:191.0-1796.0973:191.0-1807.0063:191.0-1817.9154:191.0-1828.8245:191.0-1839.7335:191.0-1850.6426:191.0-1861.5516:191.0-1872.4607:191.0-1883.3698:191.0-1894.2788:191.0-1905.1879:191.0-1916.0969:191.0-1927.006:191.0-1937.915:191.0-1948.8241:191.0-1959.7332:191.0-1970.6422:191.0-1981.5513:191.0-2047.0056:223.0-2057.9148:223.0-2068.824:223.0-2079.7332:223.0-2090.6423:223.0-2101.5515:223.0-2199.7341:207.0-2210.6433:207.0-2221.5525:207.0-2232.4617:207.0-2243.3708:207.0-2254.28:207.0-2352.4626:191.0-2363.3718:191.0-2373.681:191.0-2383.456:191.0-2384.0:191.0
44,14.686521:15.0-18.751003:15.0-140.15007:239.0-149.01357:239.0-157.50208:239.0-222.94357:207.0-232.89978:207.0-242.9608:207.0-253.11511:207.0-263.35245:207.0-273.66367:207.0-284.04065:207.0-294.47617:207.0-304.96378:207.0-315.49774:207.0-326.07297:207.0-336.68494:207.0-347.3296:207.0-358.00333:207.0-368.70294:207.0-411.70782:223.0-422.49994:223.0-433.30493:223.0-444.12137:223.0-454.948:223.0-465.7837:223.0-476.62747:223.0-487.47842:223.0-498.3358:223.0-509.19882:223.0-520.06696:223.0-530.9396:223.0-541.8162:223.0-552.6964:223.0-563.5798:223.0-574.466:223.0-585.35474:223.0-596.2457:223.0-694.3322:207.0-705.23566:207.0-716.1397:207.0-727.0443:207.0-737.9494:207.0-748.8549:207.0-759.76086:207.0-770.6671:207.0-781.5737:207.0-792.4806:207.0-803.3877:207.0-868.83417:239.0-879.7424:239.0-890.6507:239.0-901.5591:239.0-977.91943:207.0-988.82825:207.0-999.73706:207.0-1010.64594:207.0-1021.5548:207.0-1032.4637:207.0-1043.3727:207.0-1054.2816:207.0-1065.1906:207.0-1076.0995:207.0-1087.0084:207.0-1097.9175:207.0-1108.8265:207.0-1119.7356:207.0-1130.6447:207.0-1141.5537:207.0-1272.4624:223.0-1283.3715:223.0-1294.2805:223.0-1305.1896:223.0-1316.0986:223.0-1327.0077:223.0-1337.9167:223.0-1436.0983:207.0-1447.0073:207.0-1457.9164:207.0-1468.8254:207.0-1479.7345:207.0-1490.6436:207.0-1501.5526:207.0-1512.4617:207.0-1523.3707:207.0-1534.2798:207.0-1545.1888:207.0-1556.0979:207.0-1654.2794:191.0-1665.1885:191.0-1676.0975:191.0-1687.0066:191.0-1697.9156:191.0-1708.8247:191.0-1719.7338:191.0-1730.6428:191.0-1785.1881:223.0-1796.0972:223.0-1807.0062:223.0-1817.9153:223.0-1828.8243:223.0-1839.7334:223.0-1850.6425:223.0-1861.5515:223.0-1872.4606:223.0-1883.3696:223.0-1959.733:191.0-1970.6421:191.0-2090.642:191.0-2101.5513:191.0-2112.4604:191.0-2123.3696:191.0-2156.0972:207.0-2167.0063:207.0-2177.9155:207.0-2188.8247:207.0-2199.734:207.0-2210.643:207.0-2243.3706:223.0-2254.2798:223.0-2265.189:223.0-2276.0981:223.0-2287.0073:223.0-2297.9165:223.0-2308.8257:223.0-2319.7349:223.0-2330.644:223.0-2341.5532:223.0-2352.4624:223.0-2363.3716:223.0-2373.6807:223.0-2383.4558:223.0-2384.0:223.0
45,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-367.7508:191.0-378.5782:191.0-498.10065:191.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-541.66864:191.0-552.56506:191.0-563.4629:191.0-574.36194:191.0-607.06525:207.0-617.968:207.0-628.8715:207.0-639.77563:207.0-650.6803:207.0-661.58545:207.0-672.491:207.0-683.397:207.0-694.3033:207.0-705.2099:207.0-716.11676:207.0-727.02386:207.0-737.9312:207.0-748.83875:207.0-814.287:239.0-825.1954:239.0-836.1038:239.0-847.0124:239.0-857.921:239.0-945.19135:191.0-956.1003:191.0-967.0092:191.0-977.91815:191.0-988.82715:191.0-999.73615:191.0-1010.64514:191.0-1021.55414:191.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1174.281:191.0-1185.1901:191.0-1196.0991:191.0-1207.0082:191.0-1217.9172:191.0-1228.8263:191.0-1239.7354:191.0-1250.6444:191.0-1261.5535:191.0-1305.1897:207.0-1316.0988:207.0-1327.0078:207.0-1337.9169:207.0-1348.8259:207.0-1359.735:207.0-1370.644:207.0-1381.5531:207.0-1479.7346:191.0-1490.6437:191.0-1501.5527:191.0-1512.4618:191.0-1523.3708:191.0-1534.2799:191.0-1545.189:191.0-1556.098:191.0-1567.0071:191.0-1577.9161:191.0-1588.8252:191.0-1599.7343:191.0-1610.6433:191.0-1621.5524:191.0-1632.4614:191.0-1643.3705:191.0-1763.3701:191.0-1774.2792:191.0-1894.2788:191.0-1905.1879:191.0-1916.0969:191.0-1927.006:191.0-1937.915:191.0-1948.8241:191.0-1959.7332:191.0-1970.6422:191.0-2025.1875:223.0-2036.0966:223.0-2047.0056:223.0-2057.9148:223.0-2134.279:191.0-2145.1882:191.0-2156.0974:191.0-2210.6433:223.0-2221.5525:223.0-2232.4617:223.0-2308.826:191.0-2319.735:191.0-2330.6443:191.0-2341.5535:191.0-2352.4626:191.0-2363.3718:191.0-2373.681:191.0-2383.456:191.0-2384.0:191.0
46,14.686521:15.0-18.751003:15.0-146.4993:239.0-156.46437:239.0-166.5333:239.0-176.69463:239.0-186.93822:239.0-197.255:239.0-207.63695:239.0-218.07687:239.0-228.5684:239.0-239.10587:239.0-249.6842:239.0-260.29892:239.0-270.946:239.0-346.12753:207.0-356.9335:207.0-367.7508:207.0-378.5782:207.0-389.41458:207.0-400.25897:207.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-803.37866:191.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-868.82965:191.0-879.73834:191.0-890.6471:191.0-901.5559:191.0-912.4647:191.0-988.82715:239.0-999.73615:239.0-1010.64514:239.0-1108.8267:223.0-1119.7357:223.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1239.7354:191.0-1250.6444:191.0-1381.5531:207.0-1392.4622:207.0-1403.3712:207.0-1414.2803:207.0-1425.1893:207.0-1436.0984:207.0-1447.0074:207.0-1457.9165:207.0-1468.8256:207.0-1479.7346:207.0-1490.6437:207.0-1501.5527:207.0-1512.4618:207.0-1523.3708:207.0-1534.2799:207.0-1545.189:207.0-1556.098:207.0-1567.0071:207.0-1632.4614:239.0-1643.3705:239.0-1654.2795:239.0-1665.1886:239.0-1676.0977:239.0-1687.0067:239.0-1697.9158:239.0-1708.8248:239.0-1719.7339:239.0-1730.643:239.0-1839.7335:207.0-1850.6426:207.0-1861.5516:207.0-2003.3694:239.0-2014.2784:239.0-2101.5515:191.0-2112.4607:191.0-2123.3699:191.0-2221.5525:191.0-2232.4617:191.0-2243.3708:191.0-2287.0076:223.0-2297.9167:223.0-2319.735:239.0-2330.6443:239.0-2341.5535:239.0
47,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-166.5333:191.0-176.69463:191.0-186.93822:191.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-367.7508:191.0-378.5782:191.0-389.41458:191.0-400.25897:191.0-411.11047:191.0-421.96832:191.0-432.8318:191.0-443.7003:191.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-519.8807:207.0-530.7738:207.0-541.66864:207.0-552.56506:207.0-563.4629:207.0-574.36194:207.0-585.2621:207.0-596.1632:207.0-607.06525:207.0-617.968:207.0-661.58545:223.0-672.491:223.0-683.397:223.0-694.3033:223.0-705.2099:223.0-716.11676:223.0-727.02386:223.0-737.9312:223.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-895.20667:175.0-905.0139:175.0-914.34235:175.0-1086.372:239.0-1092.551:239.0-1143.9204:191.0-1152.1692:191.0-1160.7106:191.0-1169.5123:191.0-1178.5459:191.0-1187.7858:191.0-1197.2094:191.0-1256.6179:223.0-1266.8699:223.0-1277.1942:223.0-1287.5829:223.0-1298.0288:223.0-1372.3021:191.0-1383.0288:191.0-1393.7756:191.0-1404.5403:191.0-1415.3208:191.0-1426.1155:191.0-1436.9227:191.0-1447.7412:191.0-1458.5697:191.0-1469.407:191.0-1599.8787:207.0-1610.772:207.0-1621.667:207.0-1632.5636:207.0-1643.4615:207.0-1654.3607:207.0-1665.261:207.0-1796.1162:191.0-1807.0233:191.0-1817.9307:191.0-1828.8383:191.0-1839.746:191.0-1850.6538:191.0-1861.5618:191.0-1872.4698:191.0-1883.378:191.0-1894.2864:191.0-1905.1948:191.0-1916.1033:191.0-1959.7378:207.0-1970.6465:207.0-1981.5553:207.0-1992.4641:207.0-2003.3729:207.0-2014.2819:207.0-2025.1908:207.0-2068.8267:223.0-2079.7356:223.0-2090.6445:223.0-2101.5535:223.0-2112.4624:223.0-2123.3713:223.0-2134.2803:223.0-2145.1892:223.0-2156.0981:223.0-2167.007:223.0-2243.3708:191.0-2254.28:191.0-2265.1892:191.0-2276.0984:191.0-2287.0076:191.0-2297.9167:191.0-2308.826:191.0-2319.735:191.0-2330.6443:191.0-2341.5535:191.0-2352.4626:191.0
